Tiempo_seg,I_m3/s
0,20
600,20
1200,20
1800,20
2400,20
3000,20
3600,20
4200,20.16666667
4800,20.33333333
5400,20.5
6000,20.66666667
6600,20.83333333
7200,21
7800,21.33333333
8400,21.66666667
9000,22
9600,22.33333333
10200,22.66666667
10800,23
11400,24.33333333
12000,25.66666667
12600,27
13200,28.33333333
13800,29.66666667
14400,31
15000,33.66666667
15600,36.33333333
16200,39
16800,41.66666667
17400,44.33333333
18000,47
18600,51.66666667
19200,56.33333333
19800,61
20400,65.66666667
21000,70.33333333
21600,75
22200,82.33333333
22800,89.66666667
23400,97
24000,104.3333333
24600,111.6666667
25200,119
25800,129.1666667
26400,139.3333333
27000,149.5
27600,159.6666667
28200,169.8333333
28800,180
29400,193.5
30000,207
30600,220.5
31200,234
31800,247.5
32400,261
33000,277.8333333
33600,294.6666667
34200,311.5
34800,328.3333333
35400,345.1666667
36000,362
36600,382.3333333
37200,402.6666667
37800,423
38400,443.3333333
39000,463.6666667
39600,484
40200,507.8333333
40800,531.6666667
41400,555.5
42000,579.3333333
42600,603.1666667
43200,627
43800,653.8333333
44400,680.6666667
45000,707.5
45600,734.3333333
46200,761.1666667
46800,788
47400,817.8333333
48000,847.6666667
48600,877.5
49200,907.3333333
49800,937.1666667
50400,967
51000,999.3333333
51600,1031.666667
52200,1064
52800,1096.333333
53400,1128.666667
54000,1161
54600,1195.666667
55200,1230.333333
55800,1265
56400,1299.666667
57000,1334.333333
57600,1369
58200,1404.333333
58800,1439.666667
59400,1475
60000,1510.333333
60600,1545.666667
61200,1581
61800,1616.166667
62400,1651.333333
63000,1686.5
63600,1721.666667
64200,1756.833333
64800,1792
65400,1824.833333
66000,1857.666667
66600,1890.5
67200,1923.333333
67800,1956.166667
68400,1989
69000,2018
69600,2047
70200,2076
70800,2105
71400,2134
72000,2163
72600,2187
73200,2211
73800,2235
74400,2259
75000,2283
75600,2307
76200,2325
76800,2343
77400,2361
78000,2379
78600,2397
79200,2415
79800,2425.833333
80400,2436.666667
81000,2447.5
81600,2458.333333
82200,2469.166667
82800,2480
83400,2483.333333
84000,2486.666667
84600,2490
85200,2493.333333
85800,2496.666667
86400,2500
87000,2496.5
87600,2493
88200,2489.5
88800,2486
89400,2482.5
90000,2479
